Year,USA,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LO,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
1998,0,0,0,0,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0
1999,0,0,0,0,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,0.00468986384266263,0.429184549356223,8.82352941176471,0.826446280991736,2.5,0.376647834274953,0,1.0752688172043,0,NaN,NaN,0.628930817610063,0,0,0.634920634920635,0,0,0,1.42857142857143,1.15606936416185,0,0.669642857142857,0,0,0,0,0,8.33333333333333,0,0,0,0.344827586206897,2.56410256410256,0,0,25,0.28169014084507,1.57068062827225,0,0,0,0,0,0,1.05092966855295,0,0,0,1.03092783505155,0,0,0
2001,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,0.00603424080830761,0,5,3.08056872037915,0.684931506849315,0.124223602484472,1.22699386503067,0,0,0,NaN,1.20481927710843,0,0,1.0752688172043,0.325732899022801,0,1.42857142857143,0,0.544464609800363,0,0.193798449612403,0,0,0.862068965517241,2.16216216216216,1.19047619047619,0,0,1.09289617486339,7.69230769230769,0,2.8169014084507,0.225733634311512,0,0,0.628930817610063,1.13636363636364,4.61538461538461,0.172117039586919,0,0,0,0,0.844205679201842,0,0,0,2.55102040816327,0,0.617283950617284,6.25
2003,0.00554746550169891,0,2.5,2,0.649350649350649,0.242816673411574,1.67597765363128,0,0,0,NaN,0.827814569536424,0,0,0.337837837837838,0.332225913621262,0,0,0,0.87260034904014,0,0.192678227360308,0,0,2.56410256410256,0,3.57142857142857,0,0,0,0,0.249376558603491,0,0.113250283125708,0.421940928270042,0,0.840336134453782,1.8348623853211,0,0.479233226837061,0,0,0,0,1.00791936645068,0,0,0,1.57894736842105,0,0,0
2004,0.00560106420219842,0,4.8780487804878,2.32018561484919,0,0.284668564457096,0.943396226415094,0,0,NaN,NaN,0.772200772200772,0,0,1.50537634408602,1.03806228373702,0,0,0,0.545454545454545,5.88235294117647,0.193423597678917,0,0,2.60869565217391,0.564971751412429,0.576368876080692,3.7037037037037,0,2.24719101123596,0,0,3.52112676056338,0,0.636942675159236,0,0.217391304347826,1.00502512562814,1.96078431372549,0.45662100456621,0,0,0,0,0.442477876106195,0,0,0,3.62694300518135,0,0,0
2005,0.00470619873604948,0,8.33333333333333,1.1441647597254,0,0.198333994446648,0,0,0,NaN,NaN,0.796812749003984,0,0,0.652173913043478,0.316455696202532,0,0,0.571428571428571,1.70316301703163,0,0.3584229390681,0,0,0.900900900900901,0.632911392405063,0.97323600973236,0,0,1.3953488372093,0,0.726392251815981,0.763358778625954,0,0.36231884057971,0,0.189035916824197,0.529100529100529,3.19148936170213,0.27063599458728,0,0,0,0,0.790229885057471,0,0,0,1.91387559808612,0,0.930232558139535,0
2006,0.00570443088352348,0.284090909090909,7.31707317073171,0.836820083682008,0.523560209424084,0.237154150197628,0.584795321637427,0.980392156862745,0,NaN,NaN,1.23022847100176,0,0,0.614754098360656,0.311526479750779,0,0,0.675675675675676,1.04166666666667,8.69565217391304,0.183823529411765,0,0,0.813008130081301,1.14942528735632,0.602409638554217,0,0,0.900900900900901,0,1.63170163170163,1.8348623853211,0,0.56390977443609,0,0.412371134020619,0.970873786407767,2,0.395778364116095,0,0,0,0,0.933908045977011,0,0,0,3.20855614973262,0,1.21951219512195,0
2007,0.00554183080723776,0,0,2.45901639344262,0,0.428082191780822,0.645161290322581,1.94174757281553,0,NaN,NaN,0.746268656716418,0,0,0,0.611620795107034,0,0,0.526315789473684,1.04712041884817,0,0.177619893428064,0,0,0,1.34228187919463,0.769230769230769,0,0,0,0,0,1.25786163522013,0,0.373831775700935,0,0.646551724137931,2.92887029288703,1.23456790123457,0.265604249667995,0,0,0,0,1.23372172721042,0,0,0,1.75438596491228,0,0,0
2008,0.00481305803571429,0,6.06060606060606,0.932400932400932,0,0.275482093663912,0,0,0,NaN,NaN,0.793650793650794,0,0,0.754716981132076,0.328947368421053,0,0,0,1.0230179028133,0,0.389863547758285,0,0,0.884955752212389,1.0989010989011,0.425531914893617,0,0,1.69491525423729,0,0.53475935828877,0,0,0.871080139372822,0,0,0,0,0.140845070422535,0,0,0,0,1.06232294617564,0,0,0,4.56852791878173,0,0.65359477124183,0
2009,0.0066387646124982,0,2.77777777777778,2.01729106628242,0,0.345508390918065,1.89873417721519,0,0,0,NaN,1.81159420289855,0,0,0.416666666666667,0.34965034965035,0,0,0.564971751412429,0.811359026369168,0,0.224719101123595,0,0,1.13636363636364,2.54777070063694,0.76530612244898,0,4.25531914893617,2.27272727272727,0,0.613496932515337,0.689655172413793,0,0.650759219088937,0,0,1.75438596491228,3.48837209302326,0.561797752808989,0,0,0,0,1.51079136690647,2.7027027027027,0,0,1.09289617486339,0,0,0
2010,0.00541353383458647,0,5.26315789473684,1.32275132275132,0,0.267809319764328,0.72463768115942,0,0,0,NaN,0.551470588235294,0,0,0.678733031674208,1.85185185185185,0,0,0,0.655021834061135,0,0.45662100456621,0,0,2.12765957446809,1.79640718562874,0.961538461538462,0,0,1.18343195266272,0,0.547945205479452,0.763358778625954,0,1.3986013986014,0,0.222222222222222,0.99009900990099,1.14942528735632,0.748502994011976,0,0,0,0,0.769822940723634,0,0,0,1.80722891566265,0,0.632911392405063,0
2011,0.00581981842166524,NaN,0,1.97183098591549,0,0.109769484083425,0.641025641025641,0,0,0,NaN,1.71102661596958,0,0,0.852878464818763,1.06007067137809,0,0,0,0.840336134453782,9.375,0.240963855421687,0,0,2.53164556962025,2.17391304347826,0,0,0,2,0,0.259067357512953,0.819672131147541,0,0.447427293064877,0,0,0,1.11111111111111,0.906344410876133,0,0,0,0,1.48342059336824,1.92307692307692,0,0,1.18343195266272,0,0,6.25
2012,0.00436346934088647,0,10,0.288184438040346,0,0.309437854564208,0,0,0,NaN,NaN,0.355871886120996,0,0,0.796812749003984,1.01010101010101,0,0,0,0.634249471458774,3.44827586206897,0.510204081632653,0,0,1.86915887850467,1.76470588235294,0.252525252525253,0,0,2.32558139534884,0,0.257731958762887,0,0,0.435729847494553,0,0,0,0,0.409276944065484,0,0,0,0,0.920502092050209,2.12765957446809,0,0,1.01010101010101,0,0.595238095238095,5.88235294117647
2013,0.00549976087996174,0,7.89473684210526,2.73972602739726,0,0.217864923747277,0,1.13636363636364,0,0,NaN,0.93984962406015,0,0,0.45662100456621,0.297619047619048,0,0,0,0.87719298245614,0,0.25706940874036,0,0,0.819672131147541,1.47058823529412,1.0498687664042,0,0,1.33333333333333,0,0,2.65486725663717,0,0.468384074941452,0,0.677200902934537,0,2.40963855421687,0.622083981337481,0,0,0,0,1.08786610878661,0,0,0,1.0989010989011,0,0,0
2014,0.00470794765400575,0,2.22222222222222,0.657894736842105,0,0.334261838440111,0,0,0,0.917431192660551,NaN,0.690846286701209,0,0,0.674157303370786,0,0,0,0,1.62037037037037,0,0,0,0,1.85185185185185,0,0.97323600973236,0,1.78571428571429,1.11111111111111,0,0,0,0,0.44543429844098,0,0.699300699300699,0.53475935828877,0,0.807754442649435,0,0,0,0,1.1208967173739,1.72413793103448,0,0,0,0,0,0
2015,0.00577867668303958,0,3.33333333333333,0.314465408805031,0,0.513610683102208,0,0.925925925925926,0,0,NaN,2.09059233449477,0,0,0.814663951120163,0.716845878136201,0,0,0,2.5,8.33333333333333,0.208333333333333,0,0,1.49253731343284,0,0.201612903225806,0,0,0.520833333333333,0,0,0,0.324675324675325,0.214132762312634,0,0,0.387596899224806,1.2987012987013,0.151745068285281,0,0,0,0,1.47492625368732,0,0,0,0,0,1.27659574468085,0
2016,0.00619659513404214,0,6.66666666666667,0,0,0.450901803607214,0,0,0,0.689655172413793,NaN,1.07197549770291,0,0,0.417536534446764,1.43266475644699,0,0,0,1.99637023593466,0,0.208768267223382,0,0,2.54237288135593,0.649350649350649,1.11731843575419,0,0,1.4018691588785,0,0.264550264550265,1.05263157894737,0.622083981337481,0.536672629695885,6.66666666666667,0,0.396825396825397,0,0.292825768667643,0,0,0,0,1.53846153846154,0,0,0,0.518134715025907,0,0.793650793650794,5.26315789473684
