Year,USA,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LO,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY,unique
2000,1190,11,7,13,13,85,12,67,24,NaN,22,11,65,7,58,10,19,15,6,9,9,49,100,26,32,10,17,5,22,7,15,54,11,60,20,13,21,10,24,33,45,17,5,15,15,12,3,14,24,18,21,9,129
2001,1192,11,7,13,13,86,16,67,24,NaN,21,11,65,7,58,9,19,15,6,9,9,49,100,24,32,10,17,5,22,7,15,56,5,61,20,12,20,10,24,33,45,18,5,15,18,12,3,14,24,20,21,9,129
2002,1202,11,7,13,13,93,16,67,25,NaN,21,11,65,7,58,9,19,14,6,9,9,50,100,24,32,10,17,5,22,7,15,57,5,60,19,12,20,10,24,33,45,18,6,15,18,11,3,14,24,20,24,9,129
2003,1209,11,5,13,13,93,17,67,24,NaN,21,11,65,7,58,10,19,14,6,9,9,54,100,24,31,9,12,5,22,10,12,57,7,60,29,12,20,10,24,33,45,18,6,15,18,11,3,14,24,19,24,9,129
2004,1215,11,5,13,13,93,17,68,24,NaN,22,11,65,7,58,10,19,14,6,9,9,54,100,24,31,9,12,5,23,10,11,63,10,60,29,12,18,10,24,33,45,17,6,15,18,11,3,12,24,19,24,9,130
2005,1213,11,5,13,13,93,17,69,24,NaN,21,11,65,7,60,10,19,11,6,9,9,54,100,24,31,9,12,5,23,10,11,63,10,60,29,12,18,10,24,33,45,15,7,15,18,11,3,12,24,19,24,9,130
2006,1224,11,5,13,13,93,17,69,24,NaN,21,11,76,7,61,10,19,11,7,8,9,54,100,23,31,8,12,5,23,10,11,63,10,60,30,12,18,9,24,36,45,14,6,15,18,11,3,12,24,19,24,9,130
2007,1210,11,5,13,13,93,17,70,25,NaN,21,11,76,7,61,10,19,7,7,8,9,54,100,23,31,8,6,5,21,10,11,63,10,60,30,12,16,9,24,36,45,14,6,14,17,11,3,12,24,19,24,9,130
2008,1221,11,5,13,13,93,17,70,26,NaN,21,11,76,5,61,10,19,6,7,8,11,54,100,23,31,8,8,5,21,10,11,66,10,64,30,12,16,9,24,37,45,12,6,15,19,11,3,13,24,18,24,9,130
2009,1233,11,5,13,13,93,17,70,26,NaN,21,11,76,5,61,10,19,6,7,8,11,56,100,23,31,8,8,4,22,10,11,66,10,64,30,12,16,9,24,37,45,12,6,24,20,11,3,13,24,18,24,9,130
2010,1250,11,5,11,13,93,17,70,26,NaN,21,11,76,5,66,10,23,8,7,8,11,56,100,23,31,8,8,4,22,10,11,67,10,64,30,12,16,9,24,37,45,12,6,24,20,11,3,13,24,22,26,10,130
2011,1248,11,5,11,13,94,17,70,26,NaN,21,11,76,5,66,10,25,8,7,8,11,57,100,23,31,6,8,4,22,11,10,67,10,64,29,13,15,9,24,36,45,12,6,24,20,11,3,13,25,22,24,9,131
2012,1245,10,5,11,13,95,17,70,26,NaN,21,11,77,5,66,10,25,8,7,8,11,57,100,20,31,6,8,4,22,11,10,67,10,63,29,13,15,10,24,36,45,10,6,24,20,11,3,12,25,24,24,9,131
2013,1297,10,4,11,11,99,30,83,37,NaN,21,11,77,5,64,10,25,8,7,8,11,63,100,20,31,5,8,4,22,11,10,67,10,72,30,14,15,9,24,36,45,12,5,24,20,11,3,12,25,24,24,9,131
2014,1325,10,4,11,11,100,30,84,38,NaN,21,6,77,5,64,11,25,8,7,12,11,63,100,20,39,5,8,4,22,11,10,67,10,75,30,14,15,9,24,36,43,12,5,24,20,11,3,12,41,24,24,9,132
2015,1348,10,4,11,11,102,30,84,38,NaN,21,6,77,6,64,11,25,7,7,12,12,64,100,21,41,5,8,4,22,15,10,67,10,75,30,14,16,9,33,36,43,12,5,24,20,11,6,12,41,24,23,9,132
2016,1353,10,4,11,11,104,30,89,39,NaN,21,6,78,4,64,12,25,7,7,12,12,64,100,21,41,5,7,4,22,15,10,67,10,75,30,14,16,9,35,36,43,12,5,22,18,11,6,13,43,21,23,9,133
2017,1368,10,4,11,11,106,30,89,40,NaN,21,6,78,4,64,12,24,7,7,12,12,64,100,21,41,5,6,4,22,21,9,75,10,75,30,13,16,9,35,36,43,12,5,22,18,13,6,13,43,21,23,9,133